unit_ID,cycles,operational_setting_1,operational_setting_2,operational_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,event
1,1,-5e-4,4e-4,100,518.67,642.36,1583.23,1396.84,14.62,21.61,553.97,2387.96,9062.17,1.3,47.3,522.31,2388.01,8145.32,8.4246,0.03,391,2388,100,39.11,23.3537,0
1,2,8e-4,-3e-4,100,518.67,642.5,1584.69,1396.89,14.62,21.61,554.55,2388,9061.78,1.3,47.23,522.42,2388.03,8152.85,8.4403,0.03,392,2388,100,38.99,23.4491,0
1,3,-0.0014,-2e-4,100,518.67,642.18,1582.35,1405.61,14.62,21.61,554.43,2388.03,9070.23,1.3,47.22,522.03,2388,8150.17,8.3901,0.03,391,2388,100,38.85,23.3669,0
1,4,-0.002,1e-4,100,518.67,642.92,1585.61,1392.27,14.62,21.61,555.21,2388,9064.57,1.3,47.24,522.49,2388.08,8146.56,8.3878,0.03,392,2388,100,38.96,23.2951,0
1,5,0.0016,0,100,518.67,641.68,1588.63,1397.65,14.62,21.61,554.74,2388.04,9076.14,1.3,47.15,522.58,2388.03,8147.8,8.3869,0.03,392,2388,100,39.14,23.4583,0
1,6,0.0011,-5e-4,100,518.67,642.24,1584.09,1400.01,14.62,21.61,554.75,2388,9074.98,1.3,47.07,522.42,2388.02,8144.92,8.4152,0.03,393,2388,100,38.92,23.4281,0
1,7,-0.0038,2e-4,100,518.67,642.58,1585.61,1401.09,14.62,21.61,554.58,2388.04,9074.65,1.3,47.38,522.46,2388.02,8147.05,8.3842,0.03,391,2388,100,38.84,23.4087,0
1,8,-7e-4,-5e-4,100,518.67,642.32,1588.32,1397.08,14.62,21.6,554.85,2388.06,9063.54,1.3,47.31,522.1,2387.97,8157.34,8.419,0.03,391,2388,100,39.05,23.459,0
1,9,-0.0026,0,100,518.67,641.64,1587.81,1406.51,14.62,21.61,554.13,2388.04,9067.2,1.3,47.31,521.83,2388.01,8147.2,8.4091,0.03,392,2388,100,38.99,23.4693,0
1,10,0.0019,-2e-4,100,518.67,642.42,1587.39,1402.25,14.62,21.61,554.78,2387.99,9070.04,1.3,47.35,521.96,2387.99,8152.86,8.3987,0.03,391,2388,100,38.94,23.4781,0
1,11,0.0026,-2e-4,100,518.67,642.28,1582.38,1391.88,14.62,21.61,554.3,2388.01,9068.24,1.3,47.35,522.23,2388.03,8144.53,8.4235,0.03,392,2388,100,38.97,23.4127,0
1,12,-0.0036,-4e-4,100,518.67,641.88,1583.24,1397.74,14.62,21.6,554.35,2388.04,9075.26,1.3,47.26,522.13,2387.98,8149.04,8.359,0.03,392,2388,100,39.09,23.366,0
1,13,-0.0011,1e-4,100,518.67,641.92,1589.68,1395.55,14.62,21.61,554.52,2387.98,9066.53,1.3,47.14,522.06,2388.02,8151.88,8.3821,0.03,391,2388,100,39.04,23.4273,0
1,14,9e-4,1e-4,100,518.67,642.66,1587.29,1400.9,14.62,21.61,555.17,2388.02,9067.34,1.3,47.28,522.54,2387.97,8148.13,8.4277,0.03,390,2388,100,39.03,23.386,0
1,15,-0.005,4e-4,100,518.67,642.34,1580.8,1396.5,14.62,21.61,553.96,2387.95,9069.89,1.3,47.29,522.72,2388,8150.63,8.4007,0.03,390,2388,100,39.02,23.4556,0
1,16,0.0024,3e-4,100,518.67,641.68,1587.32,1395.49,14.62,21.6,553.82,2388.02,9071.14,1.3,47.14,522.28,2387.98,8147.5,8.4197,0.03,391,2388,100,38.96,23.3717,0
1,17,-0.0019,1e-4,100,518.67,641.9,1591.12,1395.08,14.62,21.61,555.06,2388,9060.74,1.3,47,521.98,2387.93,8154.66,8.3761,0.03,393,2388,100,39.04,23.3718,0
1,18,-0.0036,2e-4,100,518.67,642.39,1578.96,1402.24,14.62,21.61,554.21,2387.97,9075.87,1.3,47.2,522.2,2388.01,8151.19,8.4205,0.03,392,2388,100,39.12,23.5448,0
1,19,-0.001,-0,100,518.67,642.3,1584.04,1398.85,14.62,21.61,554.59,2387.98,9074.41,1.3,47.16,522.04,2387.98,8154.65,8.3727,0.03,391,2388,100,39.01,23.408,0
1,20,-0.0028,4e-4,100,518.67,642.26,1579.65,1395.59,14.62,21.61,554.49,2387.97,9071.28,1.3,47.16,523.02,2388.03,8146.24,8.4252,0.03,391,2388,100,38.87,23.4903,0
1,21,1e-4,-2e-4,100,518.67,642.62,1590.18,1398.01,14.62,21.61,554,2387.99,9074.66,1.3,47.26,522.77,2388.01,8148.33,8.422,0.03,391,2388,100,38.92,23.5088,0
1,22,0.0011,4e-4,100,518.67,642.13,1586.21,1397.07,14.62,21.61,554.51,2387.98,9075.72,1.3,47.32,522.68,2388.03,8152.3,8.4134,0.03,392,2388,100,39.02,23.3533,0
1,23,-0.0057,-1e-4,100,518.67,642.05,1586.03,1394.01,14.62,21.61,554.36,2387.99,9068.45,1.3,47.17,521.82,2388.03,8153.47,8.3946,0.03,391,2388,100,39.06,23.4476,0
1,24,0.0057,2e-4,100,518.67,642.02,1585.13,1394.81,14.62,21.61,554.39,2387.96,9072.51,1.3,47.41,522.59,2388.02,8154.84,8.4162,0.03,391,2388,100,39.07,23.4648,0
1,25,-9e-4,-4e-4,100,518.67,641.93,1586.82,1406.62,14.62,21.61,553.81,2387.99,9076.1,1.3,47.31,522.08,2388.04,8154.5,8.3952,0.03,391,2388,100,38.85,23.3842,0
1,26,9e-4,-1e-4,100,518.67,642.37,1585.26,1398.77,14.62,21.6,554.79,2387.98,9065.37,1.3,47.28,522.06,2388.02,8150.15,8.3937,0.03,392,2388,100,38.93,23.3681,0
1,27,5e-4,-1e-4,100,518.67,642.12,1582.77,1400.16,14.62,21.61,554.18,2387.98,9065.21,1.3,47.33,522.08,2388.03,8148.77,8.4132,0.03,390,2388,100,39.06,23.3763,0
1,28,-6e-4,4e-4,100,518.67,643.01,1578.4,1400.24,14.62,21.61,554.66,2387.99,9055.81,1.3,47.17,522.19,2388.04,8149.12,8.4243,0.03,391,2388,100,39.02,23.4666,0
1,29,-0.0012,-1e-4,100,518.67,642.04,1587.5,1393.05,14.62,21.61,554.1,2387.97,9068.18,1.3,47.22,521.81,2388.01,8153.95,8.4001,0.03,393,2388,100,39.04,23.4538,0
1,30,-0.0016,-4e-4,100,518.67,642.53,1586.99,1396.67,14.62,21.6,554.78,2388.03,9068.92,1.3,47.34,522.45,2387.97,8149.55,8.4513,0.03,392,2388,100,39.12,23.4103,0
1,31,-4e-4,1e-4,100,518.67,642.32,1586.13,1397.47,14.62,21.61,553.71,2387.95,9063.81,1.3,47.24,522.35,2388.01,8150.74,8.3766,0.03,390,2388,100,39.2,23.4302,0
1,32,0.0018,-5e-4,100,518.67,642.11,1587.7,1392.44,14.62,21.61,555.28,2388.03,9066.15,1.3,47.17,522.72,2387.96,8151.57,8.4155,0.03,391,2388,100,39.02,23.3631,0
1,33,0.0026,-3e-4,100,518.67,642.49,1579.54,1399.94,14.62,21.61,554.2,2388,9059.84,1.3,47.27,521.95,2388,8154.7,8.4126,0.03,392,2388,100,39.16,23.4065,0
1,34,-0.0024,-2e-4,100,518.67,642.21,1586.42,1403.41,14.62,21.61,554.28,2387.96,9068.03,1.3,47.47,522.03,2388.02,8146.6,8.4218,0.03,391,2388,100,39.02,23.4787,0
1,35,-0.0055,3e-4,100,518.67,641.8,1590.74,1396.33,14.62,21.61,553.75,2388.03,9069.69,1.3,47.55,522.09,2388.02,8148.97,8.4268,0.03,392,2388,100,38.9,23.2894,0
1,36,0.0012,-4e-4,100,518.67,642.45,1581.86,1395.89,14.62,21.61,554.85,2388.02,9067.31,1.3,47.32,522.22,2388.03,8146.41,8.4141,0.03,393,2388,100,38.91,23.5297,0
1,37,-0.004,-1e-4,100,518.67,642.06,1588.99,1396.98,14.62,21.61,554.82,2387.95,9073.55,1.3,47.33,522.58,2388.02,8151.59,8.3305,0.03,393,2388,100,39.03,23.4539,0
1,38,0.004,-4e-4,100,518.67,642.49,1588.71,1401.57,14.62,21.61,555.03,2388.01,9071.77,1.3,47.3,522.62,2387.98,8148.72,8.3718,0.03,392,2388,100,38.83,23.4252,0
1,39,0.0065,-0,100,518.67,641.6,1578.79,1400.48,14.62,21.61,554.31,2388.02,9074.51,1.3,47.19,522.26,2387.99,8155.39,8.4005,0.03,392,2388,100,38.91,23.3543,0
1,40,7e-4,-2e-4,100,518.67,642.22,1583.9,1395.26,14.62,21.61,554.51,2387.96,9069.77,1.3,47.24,522.47,2388.02,8150.31,8.3948,0.03,394,2388,100,38.94,23.4083,0
1,41,-0.0014,-2e-4,100,518.67,641.96,1582.54,1400.72,14.62,21.6,554.61,2387.97,9072.56,1.3,47.32,522.45,2387.97,8151.32,8.3559,0.03,392,2388,100,39.07,23.3239,0
1,42,0.0018,-2e-4,100,518.67,642.06,1584.71,1403.21,14.62,21.61,554.31,2388,9071.68,1.3,47.26,522.2,2387.97,8148.7,8.4148,0.03,392,2388,100,38.86,23.4382,0
1,43,9e-4,4e-4,100,518.67,642.71,1581.49,1399.38,14.62,21.61,553.96,2387.96,9072.52,1.3,47.1,522.42,2387.98,8144.75,8.4327,0.03,392,2388,100,39.14,23.4357,0
1,44,0.002,1e-4,100,518.67,642.69,1585.54,1407.66,14.62,21.61,552.85,2387.99,9068.1,1.3,47.26,522.78,2387.94,8149.9,8.4334,0.03,389,2388,100,39.17,23.3515,0
1,45,0.0019,1e-4,100,518.67,642.56,1584.23,1407.95,14.62,21.61,554.23,2387.96,9066.98,1.3,47.17,522.56,2387.98,8153.01,8.4343,0.03,391,2388,100,39.01,23.3131,0
1,46,-0.0037,3e-4,100,518.67,642.02,1582.9,1400.5,14.62,21.61,554.61,2388.06,9071.26,1.3,47.21,522.04,2388.04,8145.17,8.4268,0.03,392,2388,100,38.88,23.5009,0
1,47,-0.0019,3e-4,100,518.67,642.6,1592.1,1398.26,14.62,21.61,554.11,2388.01,9073.71,1.3,47.28,522.03,2387.97,8150.46,8.3755,0.03,392,2388,100,39.14,23.269,0
1,48,3e-4,0,100,518.67,642.44,1583.27,1399.17,14.62,21.61,554.16,2388.02,9066.97,1.3,47.27,522.29,2388.04,8150.94,8.3998,0.03,394,2388,100,39.02,23.3188,0
1,49,0.003,-4e-4,100,518.67,642.37,1586.75,1393.83,14.62,21.61,553.91,2388.04,9076.18,1.3,47.28,521.94,2388.01,8149.51,8.3804,0.03,390,2388,100,38.92,23.3822,0
1,50,-8e-4,4e-4,100,518.67,642.41,1590.26,1398.51,14.62,21.61,554.27,2387.98,9068.53,1.3,47.08,522.01,2388.04,8148.25,8.4073,0.03,392,2388,100,38.97,23.3748,0
1,51,-0.0012,-0,100,518.67,642.2,1587.71,1390.26,14.62,21.61,554.71,2387.99,9067.59,1.3,47.21,522.4,2387.98,8153,8.3567,0.03,391,2388,100,38.9,23.4784,0
1,52,2e-4,3e-4,100,518.67,642.61,1583.3,1403.78,14.62,21.61,554.09,2387.97,9063.21,1.3,47.24,521.69,2387.93,8150.07,8.3914,0.03,391,2388,100,38.97,23.3179,0
1,53,6e-4,-2e-4,100,518.67,642.45,1583.03,1400.06,14.62,21.61,553.12,2388.03,9064.82,1.3,47.34,522.4,2388.04,8150.1,8.411,0.03,391,2388,100,38.91,23.439,0
1,54,7e-4,-4e-4,100,518.67,642.48,1584.68,1406.3,14.62,21.61,554.8,2388.03,9068.35,1.3,47.22,522.28,2388.04,8145.58,8.4074,0.03,392,2388,100,38.99,23.4086,0
1,55,2e-4,4e-4,100,518.67,642.25,1587.23,1401.26,14.62,21.61,554.56,2388.01,9066.05,1.3,47.12,522.42,2388.02,8150.6,8.4106,0.03,391,2388,100,38.93,23.4395,0
1,56,8e-4,0,100,518.67,642.79,1585.25,1396.05,14.62,21.6,554.24,2388.01,9067.08,1.3,47.07,522.67,2388.03,8148.37,8.4308,0.03,394,2388,100,38.96,23.4014,0
1,57,-0.0024,-3e-4,100,518.67,642.47,1586.13,1396.03,14.62,21.61,554.29,2387.97,9074.48,1.3,47.11,522.14,2387.99,8148.7,8.3816,0.03,391,2388,100,39,23.4644,0
1,58,-0.0043,-1e-4,100,518.67,641.98,1587.55,1402.61,14.62,21.61,553.84,2387.98,9068.44,1.3,47.17,521.89,2388.05,8148.44,8.4089,0.03,393,2388,100,39.2,23.353,0
1,59,2e-4,-0,100,518.67,642.01,1589.14,1405.41,14.62,21.61,554.48,2387.96,9066.73,1.3,47.24,522.84,2388.01,8151.41,8.4339,0.03,393,2388,100,38.98,23.4888,0
1,60,-1e-4,-3e-4,100,518.67,642.52,1578.91,1406.32,14.62,21.61,554.16,2388.03,9069.03,1.3,47.31,522.32,2387.98,8148.29,8.3837,0.03,392,2388,100,38.99,23.3179,0
1,61,0.003,-4e-4,100,518.67,641.97,1584.13,1400.11,14.62,21.61,554.09,2388.01,9075.7,1.3,47.23,522.28,2387.98,8152.04,8.3578,0.03,391,2388,100,39.19,23.4228,0
1,62,0.0031,-4e-4,100,518.67,642.47,1593.91,1397.99,14.62,21.61,554.15,2388.04,9067.62,1.3,47.25,522.33,2388.02,8150.95,8.4285,0.03,390,2388,100,38.91,23.3841,0
1,63,8e-4,-2e-4,100,518.67,641.82,1583.91,1403.75,14.62,21.61,554.73,2388.01,9065.3,1.3,47.32,522.76,2388.04,8151.24,8.3982,0.03,391,2388,100,38.98,23.4328,0
1,64,-6e-4,2e-4,100,518.67,642.49,1589.38,1399.53,14.62,21.61,554.89,2388,9072.87,1.3,47.34,522.81,2387.98,8146.73,8.4168,0.03,391,2388,100,38.92,23.3717,0
1,65,-0.0035,-3e-4,100,518.67,642.15,1589.05,1391.23,14.62,21.61,554.01,2387.96,9068,1.3,47.31,522.59,2387.97,8153.43,8.398,0.03,391,2388,100,39.07,23.4992,0
1,66,0,-2e-4,100,518.67,642.16,1586.02,1397.9,14.62,21.61,554.5,2387.97,9072.46,1.3,47.36,521.68,2387.99,8147.89,8.4487,0.03,391,2388,100,39.03,23.2868,0
1,67,5e-4,0,100,518.67,642.01,1585.57,1399.69,14.62,21.61,554.3,2388.03,9072.09,1.3,47.36,521.77,2388.03,8152.11,8.4355,0.03,391,2388,100,38.79,23.2883,0
1,68,6e-4,-5e-4,100,518.67,642.07,1580.92,1401.99,14.62,21.61,554.2,2388.04,9072.69,1.3,47.35,521.81,2387.95,8142.59,8.4185,0.03,391,2388,100,38.97,23.4363,0
1,69,2e-4,1e-4,100,518.67,642.88,1589.68,1399.78,14.62,21.61,553.99,2388.05,9068.54,1.3,47.11,522.55,2388.05,8153.08,8.4486,0.03,392,2388,100,39.07,23.3217,0
1,70,-0.002,-5e-4,100,518.67,642.34,1591.65,1401.42,14.62,21.61,554.43,2388.02,9071.32,1.3,47.26,522.22,2388.05,8148.04,8.4294,0.03,393,2388,100,39.14,23.3813,0
1,71,0.0032,4e-4,100,518.67,642.58,1583.72,1397.76,14.62,21.61,553.97,2388.03,9073.21,1.3,47.19,522.21,2387.98,8145.76,8.4168,0.03,391,2388,100,39.13,23.4798,0
1,72,0.0012,2e-4,100,518.67,641.91,1582.17,1402.51,14.62,21.61,554.38,2388.02,9076.78,1.3,47.26,522.23,2388.06,8144.3,8.4528,0.03,392,2388,100,39.04,23.3875,0
1,73,-4e-4,-4e-4,100,518.67,642.02,1586.87,1397.72,14.62,21.61,554.42,2388.04,9073.4,1.3,47.34,522.23,2388.03,8148.12,8.4825,0.03,393,2388,100,39.05,23.3951,0
1,74,-4e-4,-1e-4,100,518.67,641.86,1583.99,1399.91,14.62,21.61,554.14,2388.01,9065.14,1.3,47.22,522.22,2388.01,8151.44,8.428,0.03,393,2388,100,39.02,23.3814,0
1,75,-0.001,4e-4,100,518.67,642.22,1587.16,1396.3,14.62,21.61,553.64,2388,9064.8,1.3,47.19,522.32,2387.98,8150.37,8.3836,0.03,393,2388,100,39.02,23.4318,0
1,76,0.0017,-0,100,518.67,642.85,1586.17,1400.01,14.62,21.61,554.37,2387.98,9068.07,1.3,47.15,522.64,2388.02,8155.63,8.4061,0.03,392,2388,100,38.77,23.3529,0
1,77,-0.0072,-1e-4,100,518.67,642.02,1581.99,1399.58,14.62,21.61,554.14,2388,9070.8,1.3,47.29,521.91,2388.08,8148.31,8.3727,0.03,391,2388,100,38.96,23.3415,0
1,78,-0,1e-4,100,518.67,642.86,1578.35,1400.19,14.62,21.61,554.23,2388.01,9074.23,1.3,47.22,522.15,2388.09,8153.43,8.4288,0.03,391,2388,100,38.88,23.4148,0
1,79,8e-4,3e-4,100,518.67,642.03,1583.5,1400.42,14.62,21.61,553.98,2388.02,9070.53,1.3,47.08,522.01,2388.03,8150.68,8.3895,0.03,391,2388,100,38.99,23.4047,0
1,80,0.0028,3e-4,100,518.67,641.53,1586.62,1393.1,14.62,21.61,554.63,2388.01,9067.76,1.3,47.22,521.93,2387.98,8153,8.408,0.03,393,2388,100,38.85,23.458,0
1,81,0.0021,0,100,518.67,642.13,1581.98,1402.49,14.62,21.61,553.72,2388.02,9070.82,1.3,47.02,522.32,2388.06,8153.66,8.4433,0.03,394,2388,100,38.94,23.4212,0
1,82,-0.0018,-5e-4,100,518.67,642.55,1587.08,1402.42,14.62,21.61,554.5,2388.02,9064.56,1.3,47.19,522.19,2388.05,8151.48,8.4196,0.03,393,2388,100,39.12,23.3853,0
1,83,-0.0053,-4e-4,100,518.67,641.85,1587.23,1401.86,14.62,21.61,555.2,2388.01,9063.6,1.3,47.25,521.93,2388.04,8152.49,8.3843,0.03,393,2388,100,39,23.3097,0
